ticker,symbol,quant_score,rank,shortlisted,momentum_score,liquidity_score,quality_score,value_score,technical_score,fno_score,events_score
SBIN.NS,SBIN,66.89,1,True,58.0,77.5,47.75,91.875,76.25,50.0,70.0
ICICIBANK.NS,ICICIBANK,64.42,2,True,60.5,90.0,53.25,67.875,59.75,50.0,70.0
KOTAKBANK.NS,KOTAKBANK,63.84,3,True,49.5,62.5,80.25,70.125,63.5,50.0,70.0
INFY.NS,INFY,63.74,4,True,51.0,90.0,47.5,67.125,79.5,50.0,70.0
BAJFINANCE.NS,BAJFINANCE,62.66,5,True,75.0,70.0,57.75,43.875,68.5,50.0,50.0
HCLTECH.NS,HCLTECH,60.79,6,True,79.5,37.5,44.75,58.875,76.75,50.0,70.0
RELIANCE.NS,RELIANCE,56.52,7,True,38.0,77.5,54.0,57.75,66.25,50.0,70.0
TITAN.NS,TITAN,56.2,8,True,88.0,30.0,48.75,6.5,86.5,50.0,70.0
LT.NS,LT,55.75,9,True,65.5,42.5,51.75,35.5,75.5,50.0,70.0
TCS.NS,TCS,55.3,10,True,53.5,57.5,50.25,50.0,65.0,50.0,70.0
NESTLEIND.NS,NESTLEIND,54.22,11,True,70.5,37.5,67.5,8.5,68.0,50.0,70.0
HDFCBANK.NS,HDFCBANK,52.84,12,True,19.0,100.0,46.5,79.875,38.72435915852091,50.0,70.0
NTPC.NS,NTPC,52.68,13,True,31.0,40.0,54.75,90.0,56.5,50.0,70.0
AXISBANK.NS,AXISBANK,51.51,14,True,27.0,62.5,46.75,88.125,45.44782095528865,50.0,70.0
MARUTI.NS,MARUTI,51.01,15,True,54.5,30.000000000000004,65.25,42.0,50.25,50.0,70.0
WIPRO.NS,WIPRO,50.56,16,True,36.5,50.0,32.25,73.0,70.25,50.0,70.0
SUNPHARMA.NS,SUNPHARMA,49.49,17,True,48.5,37.5,72.0,26.5,55.75,50.0,50.0
ASIANPAINT.NS,ASIANPAINT,44.91,18,True,56.5,15.0,61.5,15.0,53.25,50.0,70.0
ADANIENT.NS,ADANIENT,44.9,19,True,57.5,22.5,48.0,29.0,48.0,50.0,70.0
DRREDDY.NS,DRREDDY,37.36,20,True,30.5,20.0,19.5,48.5,63.75,50.0,70.0
