symbol,yf_ticker,source,source_version
COLPAL,COLPAL.NS,nse-archives,2
CAMS,CAMS.NS,nse-archives,2
CONCORDBIO,CONCORDBIO.NS,nse-archives,2
CONCOR,CONCOR.NS,nse-archives,2
COROMANDEL,COROMANDEL.NS,nse-archives,2
CRAFTSMAN,CRAFTSMAN.NS,nse-archives,2
CREDITACC,CREDITACC.NS,nse-archives,2
CROMPTON,CROMPTON.NS,nse-archives,2
CUMMINSIND,CUMMINSIND.NS,nse-archives,2
CYIENT,CYIENT.NS,nse-archives,2
DCMSHRIRAM,DCMSHRIRAM.NS,nse-archives,2
DLF,DLF.NS,nse-archives,2
DOMS,DOMS.NS,nse-archives,2
DABUR,DABUR.NS,nse-archives,2
DALBHARAT,DALBHARAT.NS,nse-archives,2
DATAPATTNS,DATAPATTNS.NS,nse-archives,2
DEEPAKFERT,DEEPAKFERT.NS,nse-archives,2
DEEPAKNTR,DEEPAKNTR.NS,nse-archives,2
DELHIVERY,DELHIVERY.NS,nse-archives,2
DEVYANI,DEVYANI.NS,nse-archives,2
DIVISLAB,DIVISLAB.NS,nse-archives,2
DIXON,DIXON.NS,nse-archives,2
LALPATHLAB,LALPATHLAB.NS,nse-archives,2
DRREDDY,DRREDDY.NS,nse-archives,2
EIDPARRY,EIDPARRY.NS,nse-archives,2
EIHOTEL,EIHOTEL.NS,nse-archives,2
EICHERMOT,EICHERMOT.NS,nse-archives,2
ELECON,ELECON.NS,nse-archives,2
ELGIEQUIP,ELGIEQUIP.NS,nse-archives,2
EMAMILTD,EMAMILTD.NS,nse-archives,2
EMCURE,EMCURE.NS,nse-archives,2
EMMVEE,EMMVEE.NS,nse-archives,2
ENDURANCE,ENDURANCE.NS,nse-archives,2
ENGINERSIN,ENGINERSIN.NS,nse-archives,2
ERIS,ERIS.NS,nse-archives,2
ESCORTS,ESCORTS.NS,nse-archives,2
ETERNAL,ETERNAL.NS,nse-archives,2
EXIDEIND,EXIDEIND.NS,nse-archives,2
NYKAA,NYKAA.NS,nse-archives,2
FEDERALBNK,FEDERALBNK.NS,nse-archives,2
FACT,FACT.NS,nse-archives,2
FINCABLES,FINCABLES.NS,nse-archives,2
FSL,FSL.NS,nse-archives,2
FIVESTAR,FIVESTAR.NS,nse-archives,2
FORCEMOT,FORCEMOT.NS,nse-archives,2
FORTIS,FORTIS.NS,nse-archives,2
GAIL,GAIL.NS,nse-archives,2
GVT&D,GVT&D.NS,nse-archives,2
GMRAIRPORT,GMRAIRPORT.NS,nse-archives,2
GABRIEL,GABRIEL.NS,nse-archives,2
GALLANTT,GALLANTT.NS,nse-archives,2
GRSE,GRSE.NS,nse-archives,2
GICRE,GICRE.NS,nse-archives,2
GILLETTE,GILLETTE.NS,nse-archives,2
GLAND,GLAND.NS,nse-archives,2
GLAXO,GLAXO.NS,nse-archives,2
GLENMARK,GLENMARK.NS,nse-archives,2
MEDANTA,MEDANTA.NS,nse-archives,2
GODIGIT,GODIGIT.NS,nse-archives,2
GPIL,GPIL.NS,nse-archives,2
GODFRYPHLP,GODFRYPHLP.NS,nse-archives,2
GODREJCP,GODREJCP.NS,nse-archives,2
GODREJIND,GODREJIND.NS,nse-archives,2
GODREJPROP,GODREJPROP.NS,nse-archives,2
GRANULES,GRANULES.NS,nse-archives,2
GRAPHITE,GRAPHITE.NS,nse-archives,2
GRASIM,GRASIM.NS,nse-archives,2
GRAVITA,GRAVITA.NS,nse-archives,2
GESHIP,GESHIP.NS,nse-archives,2
FLUOROCHEM,FLUOROCHEM.NS,nse-archives,2
GMDCLTD,GMDCLTD.NS,nse-archives,2
HEG,HEG.NS,nse-archives,2
HBLENGINE,HBLENGINE.NS,nse-archives,2
HCLTECH,HCLTECH.NS,nse-archives,2
HDBFS,HDBFS.NS,nse-archives,2
HDFCAMC,HDFCAMC.NS,nse-archives,2
HDFCBANK,HDFCBANK.NS,nse-archives,2
HDFCLIFE,HDFCLIFE.NS,nse-archives,2
HFCL,HFCL.NS,nse-archives,2
HAVELLS,HAVELLS.NS,nse-archives,2
HEROMOTOCO,HEROMOTOCO.NS,nse-archives,2
HEXT,HEXT.NS,nse-archives,2
HSCL,HSCL.NS,nse-archives,2
HINDALCO,HINDALCO.NS,nse-archives,2
HAL,HAL.NS,nse-archives,2
HINDCOPPER,HINDCOPPER.NS,nse-archives,2
HINDPETRO,HINDPETRO.NS,nse-archives,2
HINDUNILVR,HINDUNILVR.NS,nse-archives,2
HINDZINC,HINDZINC.NS,nse-archives,2
POWERINDIA,POWERINDIA.NS,nse-archives,2
HOMEFIRST,HOMEFIRST.NS,nse-archives,2
HONASA,HONASA.NS,nse-archives,2
HONAUT,HONAUT.NS,nse-archives,2
HUDCO,HUDCO.NS,nse-archives,2
HYUNDAI,HYUNDAI.NS,nse-archives,2
ICICIBANK,ICICIBANK.NS,nse-archives,2
ICICIGI,ICICIGI.NS,nse-archives,2
ICICIAMC,ICICIAMC.NS,nse-archives,2
ICICIPRULI,ICICIPRULI.NS,nse-archives,2
IDBI,IDBI.NS,nse-archives,2
IDFCFIRSTB,IDFCFIRSTB.NS,nse-archives,2
IFCI,IFCI.NS,nse-archives,2
IIFL,IIFL.NS,nse-archives,2
IRB,IRB.NS,nse-archives,2
IRCON,IRCON.NS,nse-archives,2
ITCHOTELS,ITCHOTELS.NS,nse-archives,2
ITC,ITC.NS,nse-archives,2
ITI,ITI.NS,nse-archives,2
INDGN,INDGN.NS,nse-archives,2
INDIACEM,INDIACEM.NS,nse-archives,2
INDIAMART,INDIAMART.NS,nse-archives,2
INDIANB,INDIANB.NS,nse-archives,2
IEX,IEX.NS,nse-archives,2
INDHOTEL,INDHOTEL.NS,nse-archives,2
IOC,IOC.NS,nse-archives,2
IOB,IOB.NS,nse-archives,2
IRCTC,IRCTC.NS,nse-archives,2
IRFC,IRFC.NS,nse-archives,2
IREDA,IREDA.NS,nse-archives,2
IGL,IGL.NS,nse-archives,2
INDUSTOWER,INDUSTOWER.NS,nse-archives,2
INDUSINDBK,INDUSINDBK.NS,nse-archives,2
NAUKRI,NAUKRI.NS,nse-archives,2
INFY,INFY.NS,nse-archives,2
INOXWIND,INOXWIND.NS,nse-archives,2
INTELLECT,INTELLECT.NS,nse-archives,2
INDIGO,INDIGO.NS,nse-archives,2
IGIL,IGIL.NS,nse-archives,2
IKS,IKS.NS,nse-archives,2
IPCALAB,IPCALAB.NS,nse-archives,2
JKCEMENT,JKCEMENT.NS,nse-archives,2
JBMA,JBMA.NS,nse-archives,2
JKTYRE,JKTYRE.NS,nse-archives,2
JMFINANCIL,JMFINANCIL.NS,nse-archives,2
JSWCEMENT,JSWCEMENT.NS,nse-archives,2
JSWDULUX,JSWDULUX.NS,nse-archives,2
JSWENERGY,JSWENERGY.NS,nse-archives,2
JSWINFRA,JSWINFRA.NS,nse-archives,2
JSWSTEEL,JSWSTEEL.NS,nse-archives,2
JAINREC,JAINREC.NS,nse-archives,2
JPPOWER,JPPOWER.NS,nse-archives,2
J&KBANK,J&KBANK.NS,nse-archives,2
JINDALSAW,JINDALSAW.NS,nse-archives,2
JSL,JSL.NS,nse-archives,2
JINDALSTEL,JINDALSTEL.NS,nse-archives,2
JIOFIN,JIOFIN.NS,nse-archives,2
JUBLFOOD,JUBLFOOD.NS,nse-archives,2
JUBLINGREA,JUBLINGREA.NS,nse-archives,2
JUBLPHARMA,JUBLPHARMA.NS,nse-archives,2
JWL,JWL.NS,nse-archives,2
JYOTICNC,JYOTICNC.NS,nse-archives,2
KPRMILL,KPRMILL.NS,nse-archives,2
KEI,KEI.NS,nse-archives,2
KPITTECH,KPITTECH.NS,nse-archives,2
KAJARIACER,KAJARIACER.NS,nse-archives,2
KPIL,KPIL.NS,nse-archives,2
KALYANKJIL,KALYANKJIL.NS,nse-archives,2
KARURVYSYA,KARURVYSYA.NS,nse-archives,2
KAYNES,KAYNES.NS,nse-archives,2
KEC,KEC.NS,nse-archives,2
KFINTECH,KFINTECH.NS,nse-archives,2
KIRLOSENG,KIRLOSENG.NS,nse-archives,2
KOTAKBANK,KOTAKBANK.NS,nse-archives,2
KIMS,KIMS.NS,nse-archives,2
LTF,LTF.NS,nse-archives,2
LTTS,LTTS.NS,nse-archives,2
LGEINDIA,LGEINDIA.NS,nse-archives,2
LICHSGFIN,LICHSGFIN.NS,nse-archives,2
LTFOODS,LTFOODS.NS,nse-archives,2
LTM,LTM.NS,nse-archives,2
LT,LT.NS,nse-archives,2
LATENTVIEW,LATENTVIEW.NS,nse-archives,2
LAURUSLABS,LAURUSLABS.NS,nse-archives,2
THELEELA,THELEELA.NS,nse-archives,2
LEMONTREE,LEMONTREE.NS,nse-archives,2
LENSKART,LENSKART.NS,nse-archives,2
LICI,LICI.NS,nse-archives,2
LINDEINDIA,LINDEINDIA.NS,nse-archives,2
LLOYDSME,LLOYDSME.NS,nse-archives,2
LODHA,LODHA.NS,nse-archives,2
LUPIN,LUPIN.NS,nse-archives,2
MMTC,MMTC.NS,nse-archives,2
MRF,MRF.NS,nse-archives,2
MGL,MGL.NS,nse-archives,2
M&MFIN,M&MFIN.NS,nse-archives,2
M&M,M&M.NS,nse-archives,2
MANAPPURAM,MANAPPURAM.NS,nse-archives,2
MRPL,MRPL.NS,nse-archives,2
MANKIND,MANKIND.NS,nse-archives,2
MARICO,MARICO.NS,nse-archives,2
MARUTI,MARUTI.NS,nse-archives,2
MFSL,MFSL.NS,nse-archives,2
MAXHEALTH,MAXHEALTH.NS,nse-archives,2
MAZDOCK,MAZDOCK.NS,nse-archives,2
MEESHO,MEESHO.NS,nse-archives,2
MINDACORP,MINDACORP.NS,nse-archives,2
MSUMI,MSUMI.NS,nse-archives,2
MOTILALOFS,MOTILALOFS.NS,nse-archives,2
MPHASIS,MPHASIS.NS,nse-archives,2
MCX,MCX.NS,nse-archives,2
MUTHOOTFIN,MUTHOOTFIN.NS,nse-archives,2
NATCOPHARM,NATCOPHARM.NS,nse-archives,2
NBCC,NBCC.NS,nse-archives,2
NCC,NCC.NS,nse-archives,2
NHPC,NHPC.NS,nse-archives,2
NLCINDIA,NLCINDIA.NS,nse-archives,2
NMDC,NMDC.NS,nse-archives,2
NSLNISP,NSLNISP.NS,nse-archives,2
NTPCGREEN,NTPCGREEN.NS,nse-archives,2
NTPC,NTPC.NS,nse-archives,2
NH,NH.NS,nse-archives,2
NATIONALUM,NATIONALUM.NS,nse-archives,2
NAVA,NAVA.NS,nse-archives,2
NAVINFLUOR,NAVINFLUOR.NS,nse-archives,2
NESTLEIND,NESTLEIND.NS,nse-archives,2
NETWEB,NETWEB.NS,nse-archives,2
NEULANDLAB,NEULANDLAB.NS,nse-archives,2
NEWGEN,NEWGEN.NS,nse-archives,2
NAM-INDIA,NAM-INDIA.NS,nse-archives,2
NIVABUPA,NIVABUPA.NS,nse-archives,2
NUVAMA,NUVAMA.NS,nse-archives,2
NUVOCO,NUVOCO.NS,nse-archives,2
OBEROIRLTY,OBEROIRLTY.NS,nse-archives,2
ONGC,ONGC.NS,nse-archives,2
OIL,OIL.NS,nse-archives,2
OLAELEC,OLAELEC.NS,nse-archives,2
OLECTRA,OLECTRA.NS,nse-archives,2
PAYTM,PAYTM.NS,nse-archives,2
ONESOURCE,ONESOURCE.NS,nse-archives,2
OFSS,OFSS.NS,nse-archives,2
